,attachments_media_keys,author_id,created_at_x,entities_hashtags,entities_urls,tweet_id,public_metrics_like_count,public_metrics_quote_count,public_metrics_reply_count,public_metrics_retweet_count,source,text,entities_mentions,referenced_tweets,entities_annotations,created_at_y,name,profile_image_url,public_metrics_followers_count,public_metrics_following_count,public_metrics_listed_count,public_metrics_tweet_count,url,username,entities_url_urls,location,pinned_tweet_id,entities_description_hashtags,entities_description_mentions,entities_description_urls
0,['3_1449030060061728769'],1406239100613574665,2021-10-15T15:11:03.000Z,"[{'end': 55, 'start': 48, 'tag': 'stocks'}, {'end': 67, 'start': 56, 'tag': 'StockSucks'}, {'end': 81, 'start': 68, 'tag': 'StocksNBonds'}, {'end': 98, 'start': 82, 'tag': 'StocksAndShares'}, {'end': 107, 'start': 99, 'tag': 'tendies'}, {'end': 123, 'start': 108, 'tag': 'optionstrading'}, {'end': 130, 'start': 124, 'tag': 'money'}, {'end': 144, 'start': 131, 'tag': 'stocktrading'}, {'end': 153, 'start': 145, 'tag': 'profits'}, {'end': 166, 'start': 154, 'tag': 'StockMarket'}, {'end': 174, 'start': 167, 'tag': 'stonks'}, {'end': 181, 'start': 175, 'tag': 'stock'}, {'end': 200, 'start': 182, 'tag': 'technicalanalysis'}, {'end': 207, 'start': 201, 'tag': 'money'}, {'end': 219, 'start': 208, 'tag': 'daytrading'}, {'end': 224, 'start': 220, 'tag': 'SPY'}, {'end': 232, 'start': 225, 'tag': 'SnP500'}, {'end': 237, 'start': 233, 'tag': 'AMC'}, {'end': 242, 'start': 238, 'tag': 'GME'}, {'end': 248, 'start': 243, 'tag': 'TSLA'}, {'end': 254, 'start': 249, 'tag': 'APPL'}, {'end': 260, 'start': 255, 'tag': 'BBIG'}, {'end': 265, 'start': 261, 'tag': 'AMD'}, {'end': 270, 'start': 266, 'tag': 'SPG'}]","[{'display_url': 'pic.twitter.com/lsUDbacPI4', 'end': 294, 'expanded_url': 'https://twitter.com/mamabearmentors/status/1449030062787989538/photo/1', 'start': 271, 'url': 'https://t.co/lsUDbacPI4'}]",1449030062787989538,0,0,0,0,Buffer,"Licking my way to financial freedom!  Σʕﾟᴥﾟﾉʔﾉ

#stocks #StockSucks #StocksNBonds #StocksAndShares #tendies #optionstrading #money #stocktrading #profits #StockMarket #stonks #stock #technicalanalysis #money #daytrading #SPY #SnP500 #AMC #GME #TSLA #APPL #BBIG #AMD #SPG https://t.co/lsUDbacPI4",,,,2021-06-19T13:21:23.000Z,Mama Bear Mentors,https://pbs.twimg.com/profile_images/1437500537503617024/N72CV_vj_normal.jpg,883,26,0,81,,mamabearmentors,,,,,,
1,,1367984738753900546,2021-10-15T08:48:57.000Z,,,1448933904329572352,0,0,0,1,Twitter for Android,RT @TarantulaFX: I already explained why I was bullish SNP500 contrary to most bears. Remember its about the YEN. It's the risk  ON environ…,"[{'end': 15, 'id': '1612686216', 'start': 3, 'username': 'TarantulaFX'}]","[{'id': '1448920100984217601', 'type': 'retweeted'}]",,2021-03-05T23:46:37.000Z,Forex Trench Soldier,https://pbs.twimg.com/profile_images/1368314427158634497/63an-u4X_normal.jpg,24,117,0,216,https://t.co/KfNDMROWqJ,ForexJourneyman,"[{'display_url': 'myfxbook.com/members/Martin…', 'end': 23, 'expanded_url': 'https://www.myfxbook.com/members/Martin_Baker', 'start': 0, 'url': 'https://t.co/KfNDMROWqJ'}]",Sevastopol Station,1447794307428020228,,,
2,,1612686216,2021-10-15T07:54:06.000Z,"[{'end': 145, 'start': 142, 'tag': 'fx'}, {'end': 156, 'start': 146, 'tag': 'education'}, {'end': 165, 'start': 157, 'tag': 'economy'}]",,1448920100984217601,1,0,0,1,Twitter Web App,I already explained why I was bullish SNP500 contrary to most bears. Remember its about the YEN. It's the risk  ON environment - Yen weakness #fx #education #economy,,,,2013-07-22T12:15:48.000Z,M.Ec. Nenad Kerkez T,https://pbs.twimg.com/profile_images/948182221676007424/z6OI3BCs_normal.jpg,10824,597,274,24294,,TarantulaFX,,,1243270033096224770,"[{'end': 117, 'start': 114, 'tag': 'FX'}, {'end': 127, 'start': 119, 'tag': 'Indices'}, {'end': 141, 'start': 129, 'tag': 'Commodities'}]","[{'end': 26, 'start': 11, 'username': 'elitecurrensea'}]","[{'display_url': 'bit.ly/BWNKT', 'end': 86, 'expanded_url': 'http://bit.ly/BWNKT', 'start': 63, 'url': 'https://t.co/LlAGUKwrQv'}]"
3,['3_1448906689483362318'],19851429,2021-10-15T07:05:18.000Z,"[{'end': 90, 'start': 72, 'tag': 'momentuminvesting'}, {'end': 101, 'start': 91, 'tag': 'investing'}, {'end': 113, 'start': 102, 'tag': 'investment'}, {'end': 123, 'start': 114, 'tag': 'investor'}, {'end': 132, 'start': 124, 'tag': 'finance'}, {'end': 140, 'start': 133, 'tag': 'stocks'}, {'end': 156, 'start': 141, 'tag': 'cryptocurrency'}, {'end': 169, 'start': 157, 'tag': 'stockmarket'}, {'end': 178, 'start': 170, 'tag': 'fintech'}, {'end': 190, 'start': 179, 'tag': 'JohnMurphy'}, {'end': 198, 'start': 191, 'tag': 'SnP500'}]","[{'description': '#momentuminvesting #investing #investment #investor #finance #stocks #cryptocurrency #stockmarket #fintech #JohnMurphy #SnP500Momentum Investing CalculationI...', 'display_url': 'youtu.be/BTnQ8POiv_o', 'end': 71, 'expanded_url': 'https://youtu.be/BTnQ8POiv_o', 'images': [{'height': 360, 'url': 'https://pbs.twimg.com/news_img/1448906609502130176/KFVBcWhi?format=jpg&name=orig', 'width': 480}, {'height': 150, 'url': 'https://pbs.twimg.com/news_img/1448906609502130176/KFVBcWhi?format=jpg&name=150x150', 'width': 150}], 'start': 48, 'status': 200, 'title': 'Momentum Investing Calculation', 'unwound_url': 'https://www.youtube.com/watch?v=BTnQ8POiv_o&feature=youtu.be', 'url': 'https://t.co/hn3E8h8QMS'}, {'display_url': 'pic.twitter.com/9LG4NaJ6pT', 'end': 248, 'expanded_url': 'https://twitter.com/LeoCynosure/status/1448906690754142209/photo/1', 'start': 225, 'url': 'https://t.co/9LG4NaJ6pT'}]",1448907820540350485,2,0,0,0,IFTTT,"RT @LeoCynosure: Momentum Investing Calculation
https://t.co/hn3E8h8QMS
#momentuminvesting #investing #investment #investor #finance #stocks #cryptocurrency #stockmarket #fintech #JohnMurphy #SnP500 @YouTube @TrustworthyInf1 https://t.co/9LG4NaJ6pT","[{'end': 15, 'id': '14206585', 'start': 3, 'username': 'LeoCynosure'}, {'end': 207, 'id': '10228272', 'start': 199, 'username': 'YouTube'}, {'end': 224, 'id': '1370636406008123393', 'start': 208, 'username': 'TrustworthyInf1'}]",,,2009-02-01T08:46:49.000Z,David Doughty,https://pbs.twimg.com/profile_images/1296135145/dd_oep_normal.jpg,71251,74409,1175,143740,http://t.co/9xVGC17LQb,daviddoughty,"[{'display_url': 'david-doughty.com', 'end': 22, 'expanded_url': 'http://david-doughty.com', 'start': 0, 'url': 'http://t.co/9xVGC17LQb'}]",Oxford,496971711691366400,"[{'end': 118, 'start': 110, 'tag': 'CorpGov'}, {'end': 127, 'start': 119, 'tag': 'RegTech'}, {'end': 136, 'start': 128, 'tag': 'FinTech'}, {'end': 141, 'start': 137, 'tag': 'ESG'}, {'end': 157, 'start': 142, 'tag': 'Sustainability'}]",,
4,['3_1448906605907558400'],19851429,2021-10-15T07:05:14.000Z,"[{'end': 94, 'start': 76, 'tag': 'momentuminvesting'}, {'end': 105, 'start': 95, 'tag': 'investing'}, {'end': 117, 'start': 106, 'tag': 'investment'}, {'end': 127, 'start': 118, 'tag': 'investor'}, {'end': 136, 'start': 128, 'tag': 'finance'}, {'end': 144, 'start': 137, 'tag': 'stocks'}, {'end': 160, 'start': 145, 'tag': 'cryptocurrency'}, {'end': 173, 'start': 161, 'tag': 'stockmarket'}, {'end': 182, 'start': 174, 'tag': 'fintech'}, {'end': 194, 'start': 183, 'tag': 'JohnMurphy'}, {'end': 202, 'start': 195, 'tag': 'SnP500'}]","[{'description': '#momentuminvesting #investing #investment #investor #finance #stocks #cryptocurrency #stockmarket #fintech #JohnMurphy #SnP500Momentum Investing CalculationI...', 'display_url': 'youtu.be/BTnQ8POiv_o', 'end': 75, 'expanded_url': 'https://youtu.be/BTnQ8POiv_o', 'images': [{'height': 360, 'url': 'https://pbs.twimg.com/news_img/1448906609502130176/KFVBcWhi?format=jpg&name=orig', 'width': 480}, {'height': 150, 'url': 'https://pbs.twimg.com/news_img/1448906609502130176/KFVBcWhi?format=jpg&name=150x150', 'width': 150}], 'start': 52, 'status': 200, 'title': 'Momentum Investing Calculation', 'unwound_url': 'https://www.youtube.com/watch?v=BTnQ8POiv_o&feature=youtu.be', 'url': 'https://t.co/hn3E8h8QMS'}, {'display_url': 'pic.twitter.com/H95gj9Yu6G', 'end': 235, 'expanded_url': 'https://twitter.com/TrustworthyInf1/status/1448906607040122884/photo/1', 'start': 212, 'url': 'https://t.co/H95gj9Yu6G'}]",1448907802521522176,2,0,0,0,IFTTT,"RT @TrustworthyInf1: Momentum Investing Calculation
https://t.co/hn3E8h8QMS
#momentuminvesting #investing #investment #investor #finance #stocks #cryptocurrency #stockmarket #fintech #JohnMurphy #SnP500 @YouTube https://t.co/H95gj9Yu6G","[{'end': 19, 'id': '1370636406008123393', 'start': 3, 'username': 'TrustworthyInf1'}, {'end': 211, 'id': '10228272', 'start': 203, 'username': 'YouTube'}]",,,2009-02-01T08:46:49.000Z,David Doughty,https://pbs.twimg.com/profile_images/1296135145/dd_oep_normal.jpg,71251,74409,1175,143740,http://t.co/9xVGC17LQb,daviddoughty,"[{'display_url': 'david-doughty.com', 'end': 22, 'expanded_url': 'http://david-doughty.com', 'start': 0, 'url': 'http://t.co/9xVGC17LQb'}]",Oxford,496971711691366400,"[{'end': 118, 'start': 110, 'tag': 'CorpGov'}, {'end': 127, 'start': 119, 'tag': 'RegTech'}, {'end': 136, 'start': 128, 'tag': 'FinTech'}, {'end': 141, 'start': 137, 'tag': 'ESG'}, {'end': 157, 'start': 142, 'tag': 'Sustainability'}]",,
5,['3_1448906689483362318'],14206585,2021-10-15T07:00:49.000Z,"[{'end': 73, 'start': 55, 'tag': 'momentuminvesting'}, {'end': 84, 'start': 74, 'tag': 'investing'}, {'end': 96, 'start': 85, 'tag': 'investment'}, {'end': 106, 'start': 97, 'tag': 'investor'}, {'end': 115, 'start': 107, 'tag': 'finance'}, {'end': 123, 'start': 116, 'tag': 'stocks'}, {'end': 139, 'start': 124, 'tag': 'cryptocurrency'}, {'end': 152, 'start': 140, 'tag': 'stockmarket'}, {'end': 161, 'start': 153, 'tag': 'fintech'}, {'end': 173, 'start': 162, 'tag': 'JohnMurphy'}, {'end': 181, 'start': 174, 'tag': 'SnP500'}]","[{'description': '#momentuminvesting #investing #investment #investor #finance #stocks #cryptocurrency #stockmarket #fintech #JohnMurphy #SnP500Momentum Investing CalculationI...', 'display_url': 'youtu.be/BTnQ8POiv_o', 'end': 54, 'expanded_url': 'https://youtu.be/BTnQ8POiv_o', 'images': [{'height': 360, 'url': 'https://pbs.twimg.com/news_img/1448906609502130176/KFVBcWhi?format=jpg&name=orig', 'width': 480}, {'height': 150, 'url': 'https://pbs.twimg.com/news_img/1448906609502130176/KFVBcWhi?format=jpg&name=150x150', 'width': 150}], 'start': 31, 'status': 200, 'title': 'Momentum Investing Calculation', 'unwound_url': 'https://www.youtube.com/watch?v=BTnQ8POiv_o&feature=youtu.be', 'url': 'https://t.co/rUxFwIxjo7'}, {'display_url': 'pic.twitter.com/UXl6ifuQ1Q', 'end': 231, 'expanded_url': 'https://twitter.com/LeoCynosure/status/1448906690754142209/photo/1', 'start': 208, 'url': 'https://t.co/UXl6ifuQ1Q'}]",1448906690754142209,1,0,0,0,Hootsuite Inc.,"Momentum Investing Calculation
https://t.co/rUxFwIxjo7
#momentuminvesting #investing #investment #investor #finance #stocks #cryptocurrency #stockmarket #fintech #JohnMurphy #SnP500 @YouTube @TrustworthyInf1 https://t.co/UXl6ifuQ1Q","[{'end': 190, 'id': '10228272', 'start': 182, 'username': 'YouTube'}, {'end': 207, 'id': '1370636406008123393', 'start': 191, 'username': 'TrustworthyInf1'}]",,,2008-03-24T10:30:05.000Z,Saurav Mukherjee,https://pbs.twimg.com/profile_images/1232517314899144704/T8edmM5o_normal.jpg,813,1022,746,9281,https://t.co/RGn7LdVctL,LeoCynosure,"[{'display_url': 'podorca.com', 'end': 23, 'expanded_url': 'http://www.podorca.com', 'start': 0, 'url': 'https://t.co/RGn7LdVctL'}]","Singapore, USA, India",1105257192507260933,,,
6,['3_1448906605907558400'],1370636406008123393,2021-10-15T07:00:29.000Z,"[{'end': 73, 'start': 55, 'tag': 'momentuminvesting'}, {'end': 84, 'start': 74, 'tag': 'investing'}, {'end': 96, 'start': 85, 'tag': 'investment'}, {'end': 106, 'start': 97, 'tag': 'investor'}, {'end': 115, 'start': 107, 'tag': 'finance'}, {'end': 123, 'start': 116, 'tag': 'stocks'}, {'end': 139, 'start': 124, 'tag': 'cryptocurrency'}, {'end': 152, 'start': 140, 'tag': 'stockmarket'}, {'end': 161, 'start': 153, 'tag': 'fintech'}, {'end': 173, 'start': 162, 'tag': 'JohnMurphy'}, {'end': 181, 'start': 174, 'tag': 'SnP500'}]","[{'description': '#momentuminvesting #investing #investment #investor #finance #stocks #cryptocurrency #stockmarket #fintech #JohnMurphy #SnP500Momentum Investing CalculationI...', 'display_url': 'youtu.be/BTnQ8POiv_o', 'end': 54, 'expanded_url': 'https://youtu.be/BTnQ8POiv_o', 'images': [{'height': 360, 'url': 'https://pbs.twimg.com/news_img/1448906609502130176/KFVBcWhi?format=jpg&name=orig', 'width': 480}, {'height': 150, 'url': 'https://pbs.twimg.com/news_img/1448906609502130176/KFVBcWhi?format=jpg&name=150x150', 'width': 150}], 'start': 31, 'status': 200, 'title': 'Momentum Investing Calculation', 'unwound_url': 'https://www.youtube.com/watch?v=BTnQ8POiv_o&feature=youtu.be', 'url': 'https://t.co/wIkM8rLrjL'}, {'display_url': 'pic.twitter.com/IdQkLYB3Iu', 'end': 214, 'expanded_url': 'https://twitter.com/TrustworthyInf1/status/1448906607040122884/photo/1', 'start': 191, 'url': 'https://t.co/IdQkLYB3Iu'}]",1448906607040122884,1,0,0,0,Hootsuite Inc.,"Momentum Investing Calculation
https://t.co/wIkM8rLrjL
#momentuminvesting #investing #investment #investor #finance #stocks #cryptocurrency #stockmarket #fintech #JohnMurphy #SnP500 @YouTube https://t.co/IdQkLYB3Iu","[{'end': 190, 'id': '10228272', 'start': 182, 'username': 'YouTube'}]",,,2021-03-13T07:22:52.000Z,TrustworthyInfluencer,https://pbs.twimg.com/profile_images/1370640302822727681/KdgsKpzq_normal.jpg,20,57,0,357,https://t.co/qREe4GI6hg,TrustworthyInf1,"[{'display_url': 'saurav8e.com', 'end': 23, 'expanded_url': 'http://www.saurav8e.com', 'start': 0, 'url': 'https://t.co/qREe4GI6hg'}]",Global,1371753373255487488,,,"[{'display_url': 'podorca.com', 'end': 109, 'expanded_url': 'http://www.podorca.com', 'start': 86, 'url': 'https://t.co/otXUkisexW'}]"
7,,724013469901590531,2021-10-15T00:14:45.000Z,,"[{'display_url': 'twitter.com/firstsquawk/st…', 'end': 73, 'expanded_url': 'https://twitter.com/firstsquawk/status/1448801721413636096', 'start': 50, 'url': 'https://t.co/3y6YNYj5eF'}]",1448804504116158465,3,0,0,0,Twitter for iPhone,"Ohh I got it now, did SnP500 just front run this? https://t.co/3y6YNYj5eF",,"[{'id': '1448801721413636096', 'type': 'quoted'}]","[{'end': 27, 'normalized_text': 'SnP500', 'probability': 0.7104, 'start': 22, 'type': 'Person'}]",2016-04-23T23:13:57.000Z,"Macro-Momentum Trader, CMT",https://pbs.twimg.com/profile_images/1229877939862290433/i91JJm-w_normal.jpg,1617,685,50,5304,,supercatmy,,Asia,1447261403656581120,,,"[{'display_url': 'buymeacoffee.com/Supercatmy', 'end': 80, 'expanded_url': 'http://buymeacoffee.com/Supercatmy', 'start': 57, 'url': 'https://t.co/Zwg0LUeE8y'}]"
8,,1436007441020424195,2021-10-14T22:52:23.000Z,"[{'end': 46, 'start': 39, 'tag': 'SnP500'}, {'end': 88, 'start': 80, 'tag': 'HODLing'}]",,1448783774066659331,0,0,0,8,Twitter for iPhone,"RT @ToneVays: I’ve been bullish on the #SnP500 for over a decade now! If you’re #HODLing but looking for a trade don’t trust shitcoins, the…","[{'end': 12, 'id': '2577886615', 'start': 3, 'username': 'ToneVays'}]","[{'id': '1431433569679953926', 'type': 'retweeted'}]",,2021-09-09T16:44:19.000Z,Tone Vats (#EndLockdowns🤡🌍),https://pbs.twimg.com/profile_images/1448327758048858117/hTtrq-Sk_normal.jpg,29,320,0,786,https://t.co/pCTmI7bdCE,ToneVays3sf,"[{'display_url': 'YouTube.com/ToneVays', 'end': 23, 'expanded_url': 'http://YouTube.com/ToneVays', 'start': 0, 'url': 'https://t.co/pCTmI7bdCE'}]",Clown-world,,"[{'end': 51, 'start': 41, 'tag': 'Economics'}, {'end': 60, 'start': 52, 'tag': 'Finance'}, {'end': 72, 'start': 61, 'tag': 'Blockchain'}, {'end': 83, 'start': 75, 'tag': 'Bitcoin'}]","[{'end': 100, 'start': 93, 'username': 'Crypto'}, {'end': 107, 'start': 102, 'username': 'Scam'}, {'end': 124, 'start': 108, 'username': 'unconfiscatable'}, {'end': 140, 'start': 126, 'username': 'understandbit'}, {'end': 153, 'start': 143, 'username': 'Finsummit'}]",
9,,1436007441020424195,2021-10-14T22:48:57.000Z,,,1448782909561790465,0,0,0,6,Twitter for iPhone,"RT @ToneVays: When a company offers a legit service to humanity, we can expect their stock price to rise after an IPO's 50% drop. If it’s w…","[{'end': 12, 'id': '2577886615', 'start': 3, 'username': 'ToneVays'}]","[{'id': '1434026117988433921', 'type': 'retweeted'}]",,2021-09-09T16:44:19.000Z,Tone Vats (#EndLockdowns🤡🌍),https://pbs.twimg.com/profile_images/1448327758048858117/hTtrq-Sk_normal.jpg,29,320,0,786,https://t.co/pCTmI7bdCE,ToneVays3sf,"[{'display_url': 'YouTube.com/ToneVays', 'end': 23, 'expanded_url': 'http://YouTube.com/ToneVays', 'start': 0, 'url': 'https://t.co/pCTmI7bdCE'}]",Clown-world,,"[{'end': 51, 'start': 41, 'tag': 'Economics'}, {'end': 60, 'start': 52, 'tag': 'Finance'}, {'end': 72, 'start': 61, 'tag': 'Blockchain'}, {'end': 83, 'start': 75, 'tag': 'Bitcoin'}]","[{'end': 100, 'start': 93, 'username': 'Crypto'}, {'end': 107, 'start': 102, 'username': 'Scam'}, {'end': 124, 'start': 108, 'username': 'unconfiscatable'}, {'end': 140, 'start': 126, 'username': 'understandbit'}, {'end': 153, 'start': 143, 'username': 'Finsummit'}]",
