,retweet_count,reply_count,like_count,quote_count,entities,id,created_at,text,source,author_id,attachments,possibly_sensitive,profile_image_url,name,url,username,followers_count,following_count,tweet_count,listed_count,referenced_tweets,pinned_tweet_id,location
0,0,0,0,0,"{'urls': [{'start': 271, 'end': 294, 'url': 'https://t.co/lsUDbacPI4', 'expanded_url': 'https://twitter.com/mamabearmentors/status/1449030062787989538/photo/1', 'display_url': 'pic.twitter.com/lsUDbacPI4'}], 'hashtags': [{'start': 48, 'end': 55, 'tag': 'stocks'}, {'start': 56, 'end': 67, 'tag': 'StockSucks'}, {'start': 68, 'end': 81, 'tag': 'StocksNBonds'}, {'start': 82, 'end': 98, 'tag': 'StocksAndShares'}, {'start': 99, 'end': 107, 'tag': 'tendies'}, {'start': 108, 'end': 123, 'tag': 'optionstrading'}, {'start': 124, 'end': 130, 'tag': 'money'}, {'start': 131, 'end': 144, 'tag': 'stocktrading'}, {'start': 145, 'end': 153, 'tag': 'profits'}, {'start': 154, 'end': 166, 'tag': 'StockMarket'}, {'start': 167, 'end': 174, 'tag': 'stonks'}, {'start': 175, 'end': 181, 'tag': 'stock'}, {'start': 182, 'end': 200, 'tag': 'technicalanalysis'}, {'start': 201, 'end': 207, 'tag': 'money'}, {'start': 208, 'end': 219, 'tag': 'daytrading'}, {'start': 220, 'end': 224, 'tag': 'SPY'}, {'start': 225, 'end': 232, 'tag': 'SnP500'}, {'start': 233, 'end': 237, 'tag': 'AMC'}, {'start': 238, 'end': 242, 'tag': 'GME'}, {'start': 243, 'end': 248, 'tag': 'TSLA'}, {'start': 249, 'end': 254, 'tag': 'APPL'}, {'start': 255, 'end': 260, 'tag': 'BBIG'}, {'start': 261, 'end': 265, 'tag': 'AMD'}, {'start': 266, 'end': 270, 'tag': 'SPG'}]}",1406239100613574665,2021-06-19T13:21:23.000Z,"Licking my way to financial freedom!  Σʕﾟᴥﾟﾉʔﾉ

#stocks #StockSucks #StocksNBonds #StocksAndShares #tendies #optionstrading #money #stocktrading #profits #StockMarket #stonks #stock #technicalanalysis #money #daytrading #SPY #SnP500 #AMC #GME #TSLA #APPL #BBIG #AMD #SPG https://t.co/lsUDbacPI4",Buffer,1406239100613574665,{'media_keys': ['3_1449030060061728769']},False,https://pbs.twimg.com/profile_images/1437500537503617024/N72CV_vj_normal.jpg,Mama Bear Mentors,,mamabearmentors,883,26,81,0,,,
1,1,0,0,0,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/KfNDMROWqJ', 'expanded_url': 'https://www.myfxbook.com/members/Martin_Baker', 'display_url': 'myfxbook.com/members/Martin…'}]}}",1367984738753900546,2021-03-05T23:46:37.000Z,RT @TarantulaFX: I already explained why I was bullish SNP500 contrary to most bears. Remember its about the YEN. It's the risk  ON environ…,Twitter for Android,1367984738753900546,,False,https://pbs.twimg.com/profile_images/1368314427158634497/63an-u4X_normal.jpg,Forex Trench Soldier,https://t.co/KfNDMROWqJ,ForexJourneyman,24,117,216,0,"[{'type': 'retweeted', 'id': '1448920100984217601'}]",1447794307428020228,Sevastopol Station
2,1,0,1,0,"{'description': {'urls': [{'start': 63, 'end': 86, 'url': 'https://t.co/LlAGUKwrQv', 'expanded_url': 'http://bit.ly/BWNKT', 'display_url': 'bit.ly/BWNKT'}], 'hashtags': [{'start': 114, 'end': 117, 'tag': 'FX'}, {'start': 119, 'end': 127, 'tag': 'Indices'}, {'start': 129, 'end': 141, 'tag': 'Commodities'}], 'mentions': [{'start': 11, 'end': 26, 'username': 'elitecurrensea'}]}}",1612686216,2013-07-22T12:15:48.000Z,I already explained why I was bullish SNP500 contrary to most bears. Remember its about the YEN. It's the risk  ON environment - Yen weakness #fx #education #economy,Twitter Web App,1612686216,,False,https://pbs.twimg.com/profile_images/948182221676007424/z6OI3BCs_normal.jpg,M.Ec. Nenad Kerkez T,,TarantulaFX,10824,597,24294,274,,1243270033096224770,
3,0,0,2,0,"{'url': {'urls': [{'start': 0, 'end': 22, 'url': 'http://t.co/9xVGC17LQb', 'expanded_url': 'http://david-doughty.com', 'display_url': 'david-doughty.com'}]}, 'description': {'hashtags': [{'start': 110, 'end': 118, 'tag': 'CorpGov'}, {'start': 119, 'end': 127, 'tag': 'RegTech'}, {'start': 128, 'end': 136, 'tag': 'FinTech'}, {'start': 137, 'end': 141, 'tag': 'ESG'}, {'start': 142, 'end': 157, 'tag': 'Sustainability'}]}}",19851429,2009-02-01T08:46:49.000Z,"RT @LeoCynosure: Momentum Investing Calculation
https://t.co/hn3E8h8QMS
#momentuminvesting #investing #investment #investor #finance #stocks #cryptocurrency #stockmarket #fintech #JohnMurphy #SnP500 @YouTube @TrustworthyInf1 https://t.co/9LG4NaJ6pT",IFTTT,19851429,{'media_keys': ['3_1448906689483362318']},False,https://pbs.twimg.com/profile_images/1296135145/dd_oep_normal.jpg,David Doughty,http://t.co/9xVGC17LQb,daviddoughty,71251,74409,143740,1175,,496971711691366400,Oxford
4,0,0,2,0,"{'url': {'urls': [{'start': 0, 'end': 22, 'url': 'http://t.co/9xVGC17LQb', 'expanded_url': 'http://david-doughty.com', 'display_url': 'david-doughty.com'}]}, 'description': {'hashtags': [{'start': 110, 'end': 118, 'tag': 'CorpGov'}, {'start': 119, 'end': 127, 'tag': 'RegTech'}, {'start': 128, 'end': 136, 'tag': 'FinTech'}, {'start': 137, 'end': 141, 'tag': 'ESG'}, {'start': 142, 'end': 157, 'tag': 'Sustainability'}]}}",19851429,2009-02-01T08:46:49.000Z,"RT @TrustworthyInf1: Momentum Investing Calculation
https://t.co/hn3E8h8QMS
#momentuminvesting #investing #investment #investor #finance #stocks #cryptocurrency #stockmarket #fintech #JohnMurphy #SnP500 @YouTube https://t.co/H95gj9Yu6G",IFTTT,19851429,{'media_keys': ['3_1448906605907558400']},False,https://pbs.twimg.com/profile_images/1296135145/dd_oep_normal.jpg,David Doughty,http://t.co/9xVGC17LQb,daviddoughty,71251,74409,143740,1175,,496971711691366400,Oxford
5,0,0,1,0,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/RGn7LdVctL', 'expanded_url': 'http://www.podorca.com', 'display_url': 'podorca.com'}]}}",14206585,2008-03-24T10:30:05.000Z,"Momentum Investing Calculation
https://t.co/rUxFwIxjo7
#momentuminvesting #investing #investment #investor #finance #stocks #cryptocurrency #stockmarket #fintech #JohnMurphy #SnP500 @YouTube @TrustworthyInf1 https://t.co/UXl6ifuQ1Q",Hootsuite Inc.,14206585,{'media_keys': ['3_1448906689483362318']},False,https://pbs.twimg.com/profile_images/1232517314899144704/T8edmM5o_normal.jpg,Saurav Mukherjee,https://t.co/RGn7LdVctL,LeoCynosure,813,1022,9281,746,,1105257192507260933,"Singapore, USA, India"
6,0,0,1,0,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/qREe4GI6hg', 'expanded_url': 'http://www.saurav8e.com', 'display_url': 'saurav8e.com'}]}, 'description': {'urls': [{'start': 86, 'end': 109, 'url': 'https://t.co/otXUkisexW', 'expanded_url': 'http://www.podorca.com', 'display_url': 'podorca.com'}]}}",1370636406008123393,2021-03-13T07:22:52.000Z,"Momentum Investing Calculation
https://t.co/wIkM8rLrjL
#momentuminvesting #investing #investment #investor #finance #stocks #cryptocurrency #stockmarket #fintech #JohnMurphy #SnP500 @YouTube https://t.co/IdQkLYB3Iu",Hootsuite Inc.,1370636406008123393,{'media_keys': ['3_1448906605907558400']},False,https://pbs.twimg.com/profile_images/1370640302822727681/KdgsKpzq_normal.jpg,TrustworthyInfluencer,https://t.co/qREe4GI6hg,TrustworthyInf1,20,57,357,0,,1371753373255487488,Global
7,0,0,3,0,"{'description': {'urls': [{'start': 57, 'end': 80, 'url': 'https://t.co/Zwg0LUeE8y', 'expanded_url': 'http://buymeacoffee.com/Supercatmy', 'display_url': 'buymeacoffee.com/Supercatmy'}]}}",724013469901590531,2016-04-23T23:13:57.000Z,"Ohh I got it now, did SnP500 just front run this? https://t.co/3y6YNYj5eF",Twitter for iPhone,724013469901590531,,False,https://pbs.twimg.com/profile_images/1229877939862290433/i91JJm-w_normal.jpg,"Macro-Momentum Trader, CMT",,supercatmy,1617,685,5304,50,"[{'type': 'quoted', 'id': '1448801721413636096'}]",1447261403656581120,Asia
8,8,0,0,0,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/pCTmI7bdCE', 'expanded_url': 'http://YouTube.com/ToneVays', 'display_url': 'YouTube.com/ToneVays'}]}, 'description': {'hashtags': [{'start': 41, 'end': 51, 'tag': 'Economics'}, {'start': 52, 'end': 60, 'tag': 'Finance'}, {'start': 61, 'end': 72, 'tag': 'Blockchain'}, {'start': 75, 'end': 83, 'tag': 'Bitcoin'}], 'mentions': [{'start': 93, 'end': 100, 'username': 'Crypto'}, {'start': 102, 'end': 107, 'username': 'Scam'}, {'start': 108, 'end': 124, 'username': 'unconfiscatable'}, {'start': 126, 'end': 140, 'username': 'understandbit'}, {'start': 143, 'end': 153, 'username': 'Finsummit'}]}}",1436007441020424195,2021-09-09T16:44:19.000Z,"RT @ToneVays: I’ve been bullish on the #SnP500 for over a decade now! If you’re #HODLing but looking for a trade don’t trust shitcoins, the…",Twitter for iPhone,1436007441020424195,,False,https://pbs.twimg.com/profile_images/1448327758048858117/hTtrq-Sk_normal.jpg,Tone Vats (#EndLockdowns🤡🌍),https://t.co/pCTmI7bdCE,ToneVays3sf,29,320,786,0,"[{'type': 'retweeted', 'id': '1431433569679953926'}]",,Clown-world
9,6,0,0,0,"{'url': {'urls': [{'start': 0, 'end': 23, 'url': 'https://t.co/pCTmI7bdCE', 'expanded_url': 'http://YouTube.com/ToneVays', 'display_url': 'YouTube.com/ToneVays'}]}, 'description': {'hashtags': [{'start': 41, 'end': 51, 'tag': 'Economics'}, {'start': 52, 'end': 60, 'tag': 'Finance'}, {'start': 61, 'end': 72, 'tag': 'Blockchain'}, {'start': 75, 'end': 83, 'tag': 'Bitcoin'}], 'mentions': [{'start': 93, 'end': 100, 'username': 'Crypto'}, {'start': 102, 'end': 107, 'username': 'Scam'}, {'start': 108, 'end': 124, 'username': 'unconfiscatable'}, {'start': 126, 'end': 140, 'username': 'understandbit'}, {'start': 143, 'end': 153, 'username': 'Finsummit'}]}}",1436007441020424195,2021-09-09T16:44:19.000Z,"RT @ToneVays: When a company offers a legit service to humanity, we can expect their stock price to rise after an IPO's 50% drop. If it’s w…",Twitter for iPhone,1436007441020424195,,False,https://pbs.twimg.com/profile_images/1448327758048858117/hTtrq-Sk_normal.jpg,Tone Vats (#EndLockdowns🤡🌍),https://t.co/pCTmI7bdCE,ToneVays3sf,29,320,786,0,"[{'type': 'retweeted', 'id': '1434026117988433921'}]",,Clown-world
