created_at,tweet_id,text,retweet_count,favorite_count,truncated,username,followers_count,friends_count,favourites_count,listed_count,user_created_at,statuses_count,location,hashtags,symbols,user_mentions,source,in_reply_to_user_id
2021-10-10 17:09:04+00:00,1447247825851453441,"@lariesmanis Haii &lt;3

Aku jual layout moodboard dan scenery ready stock nih &gt;__&lt;

✿ moodboard 3k
✿ scenery 2k

Jika… https://t.co/Djk346cD8y",0,0,True,ntarkoba,184,166,277,0,2021-02-18 14:10:50+00:00,1712,,[],[],"[{'screen_name': 'lariesmanis', 'name': '⋆ DILARANG LANGGAR RULES ⋆', 'id': 1279042914711003137, 'id_str': '1279042914711003137', 'indices': [0, 12]}]",Twitter for Android,1.2790429147110031e+18
2021-10-10 17:09:04+00:00,1447247823527759873,Top Wall Street analysts are standing by these stocks amid market volatility https://t.co/b2tI7ubqQt,0,0,False,active_stock,1213,375,1272,40,2015-03-21 23:06:14+00:00,18935,WorldWide,[],[],[],dlvr.it,
2021-10-10 17:09:04+00:00,1447247822462414850,@mkvenu1 @MayaramArvind NTPC contributes 21% of power supply in our country.Most state utilities don’t pay for coal… https://t.co/3STh72iWHP,0,0,True,soodgopalk,143,129,2984,4,2014-03-29 05:36:35+00:00,4628,"New Delhi, India",[],[],"[{'screen_name': 'mkvenu1', 'name': 'M K Venu', 'id': 524262813, 'id_str': '524262813', 'indices': [0, 8]}, {'screen_name': 'MayaramArvind', 'name': 'Dr Arvind Mayaram اروند مایارام अरविंद मायाराम', 'id': 3004819454, 'id_str': '3004819454', 'indices': [9, 23]}]",Twitter for iPhone,524262813.0
2021-10-10 17:09:04+00:00,1447247822139633671,"in stock , 245/500/650 strength baler twine https://t.co/mfO6pSRAKs",0,0,False,balertwine4,0,0,0,0,2021-10-10 16:56:53+00:00,2,Toronto Ontario,[],[],[],Twitter Web App,
2021-10-10 17:09:02+00:00,1447247816535969792,I am putting NO STOCK behind that TD… I need more first!,0,0,False,NajeeSupremacy,9596,208,3005,17,2014-10-03 04:53:47+00:00,261,NJ ✈️ Pittsburgh,[],[],[],Twitter for iPhone,
2021-10-10 17:09:04+00:00,1447247825851453441,"@lariesmanis Haii &lt;3

Aku jual layout moodboard dan scenery ready stock nih &gt;__&lt;

✿ moodboard 3k
✿ scenery 2k

Jika… https://t.co/Djk346cD8y",0,0,True,ntarkoba,184,166,277,0,2021-02-18 14:10:50+00:00,1712,,[],[],"[{'screen_name': 'lariesmanis', 'name': '⋆ DILARANG LANGGAR RULES ⋆', 'id': 1279042914711003137, 'id_str': '1279042914711003137', 'indices': [0, 12]}]",Twitter for Android,1.2790429147110031e+18
2021-10-10 17:09:04+00:00,1447247823527759873,Top Wall Street analysts are standing by these stocks amid market volatility https://t.co/b2tI7ubqQt,0,0,False,active_stock,1213,375,1272,40,2015-03-21 23:06:14+00:00,18935,WorldWide,[],[],[],dlvr.it,
2021-10-10 17:09:04+00:00,1447247822462414850,@mkvenu1 @MayaramArvind NTPC contributes 21% of power supply in our country.Most state utilities don’t pay for coal… https://t.co/3STh72iWHP,0,0,True,soodgopalk,143,129,2984,4,2014-03-29 05:36:35+00:00,4628,"New Delhi, India",[],[],"[{'screen_name': 'mkvenu1', 'name': 'M K Venu', 'id': 524262813, 'id_str': '524262813', 'indices': [0, 8]}, {'screen_name': 'MayaramArvind', 'name': 'Dr Arvind Mayaram اروند مایارام अरविंद मायाराम', 'id': 3004819454, 'id_str': '3004819454', 'indices': [9, 23]}]",Twitter for iPhone,524262813.0
2021-10-10 17:09:04+00:00,1447247822139633671,"in stock , 245/500/650 strength baler twine https://t.co/mfO6pSRAKs",0,0,False,balertwine4,0,0,0,0,2021-10-10 16:56:53+00:00,2,Toronto Ontario,[],[],[],Twitter Web App,
2021-10-10 17:09:02+00:00,1447247816535969792,I am putting NO STOCK behind that TD… I need more first!,0,0,False,NajeeSupremacy,9596,208,3005,17,2014-10-03 04:53:47+00:00,261,NJ ✈️ Pittsburgh,[],[],[],Twitter for iPhone,
